"Supplemental Table 3. PCA, clustering, and GO enrichment analysis results. Note GO enrichment was not performed on the pale turquoise clade because this clade did not show temperature differences.",,,,,,,,,,,,,
protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_GACZ.1.1.m.42619,0.000196653,-0.027375882,Yes,salmon,salmon,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MEG10.78.91.m.58715,0.001737392,-0.026865774,Yes,salmon,salmon,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ASB3.1.1.m.51103,0.024007692,-0.002451118,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_103544.1.1.m.38439,0.023874603,-0.007349509,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CAH2.1.1.m.42306,0.023981719,0.003762454,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004572.m.5255,0.024056386,-0.003338312,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_015692.m.18358,0.023792615,-0.00748669,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016567.m.19514,0.024212635,-0.004890714,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_048541.m.57541,0.02427805,-0.005014606,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_DMBT1.13.34.m.27666,0.023753122,-0.000703315,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW012957.1.2.m.51659,0.023632736,-0.000683766,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376308.1.1.m.60595,0.024446937,-0.00267996,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377364.2.2.m.52803,0.023713786,-0.006483069,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533447.2.3.m.44496,0.023941335,0.004437045,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC101169658.1.3.m.18820,0.024477486,-0.004814915,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC101169658.2.3.m.20752,0.024744369,-0.000405575,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LRRX1.6.11.m.41895,0.024082521,-0.00489286,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MATN1.3.5.m.46206,0.024877846,-0.002936201,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G97278.1.2.m.34546,0.023865632,0.002157994,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NOV.1.2.m.27550,0.024508665,-0.003549937,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC101067833.2.3.m.25528,-0.009140701,0.024678463,Yes,lightsteelblue,pale purple,Q8TDB6,E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L) (Rhysin-2) (Rhysin2),Deltex family,DTX3L BBAP,cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; histone binding [GO:0042393]; metal ion binding [GO:0046872]; STAT family protein binding [GO:0097677]; ubiquitin-like protein ligase binding [GO:0044389]; ubiquitin-protein transferase activity [GO:0004842]; cellular response to DNA damage stimulus [GO:0006974]; defense response to virus [GO:0051607]; double-strand break repair [GO:0006302]; endosome to lysosome transport [GO:0008333]; histone H2A ubiquitination [GO:0033522]; histone H2B ubiquitination [GO:0033523]; histone monoubiquitination [GO:0010390]; innate immune response [GO:0045087]; negative regulation of ubiquitin-protein transferase activity [GO:0051444]; Notch signaling pathway [GO:0007219]; positive regulation of chromatin binding [GO:0035563]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]; positive regulation of NAD+ ADP-ribosyltransferase activity [GO:1901666]; positive regulation of protein binding [GO:0032092]; positive regulation of protein localization to early endosome [GO:1902966]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of receptor catabolic process [GO:2000646]; positive regulation of transcription; DNA-templated [GO:0045893]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; protein transport [GO:0015031]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0000209; GO:0002230; GO:0004842; GO:0004857; GO:0005634; GO:0005654; GO:0005737; GO:0005764; GO:0005765; GO:0005829; GO:0006302; GO:0006511; GO:0006974; GO:0007219; GO:0008047; GO:0008333; GO:0010390; GO:0015031; GO:0019899; GO:0031901; GO:0032092; GO:0032991; GO:0033522; GO:0033523; GO:0035563; GO:0042393; GO:0044389; GO:0045087; GO:0045893; GO:0046872; GO:0051444; GO:0051607; GO:0051865; GO:0070936; GO:0097677; GO:1900182; GO:1901666; GO:1902966; GO:2000646; GO:2001034,GO:0070936; GO:1900182,cellular protein modification process
CHOYP_BRAFLDRAFT_109340.1.1.m.30107,0.00190697,0.026594259,Yes,lightsteelblue,pale purple,Q60769,Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 2.3.2.-) (EC 3.4.19.12) (Putative DNA-binding protein A20) (Zinc finger protein A20),Peptidase C64 family,Tnfaip3 Tnfip3,cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; nucleus [GO:0005634]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; kinase binding [GO:0019900]; Lys63-specific deubiquitinase activity [GO:0061578]; protease binding [GO:0002020]; protein self-association [GO:0043621]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]; ubiquitin binding [GO:0043130]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; apoptotic process [GO:0006915]; B-1 B cell homeostasis [GO:0001922]; cell migration [GO:0016477]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to lipopolysaccharide [GO:0071222]; cytoskeleton organization [GO:0007010]; establishment of protein localization to vacuole [GO:0072666]; inflammatory response [GO:0006954]; marginal zone B cell differentiation [GO:0002315]; negative regulation of autophagy [GO:0010507]; negative regulation of B cell activation [GO:0050869]; negative regulation of CD40 signaling pathway [GO:2000349]; negative regulation of cell death [GO:0060548]; negative regulation of chronic inflammatory response [GO:0002677]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of granuloma formation [GO:0002632]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of interleukin-1 beta secretion [GO:0050713]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway [GO:0070429]; negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070433]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of smooth muscle cell proliferation [GO:0048662]; negative regulation of toll-like receptor 3 signaling pathway [GO:0034140]; negative regulation of toll-like receptor 5 signaling pathway [GO:0034148]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of cellular protein catabolic process [GO:1903364]; positive regulation of hepatocyte proliferation [GO:2000347]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of Wnt signaling pathway [GO:0030177]; protein deubiquitination [GO:0016579]; protein deubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0071947]; protein K11-linked deubiquitination [GO:0035871]; protein K29-linked deubiquitination [GO:0035523]; protein K33-linked deubiquitination [GO:1990168]; protein K48-linked deubiquitination [GO:0071108]; protein K48-linked ubiquitination [GO:0070936]; protein K63-linked deubiquitination [GO:0070536]; regulation of germinal center formation [GO:0002634]; regulation of immunoglobulin production [GO:0002637]; regulation of innate immune response [GO:0045088]; response to molecule of bacterial origin [GO:0002237]; response to muramyl dipeptide [GO:0032495]; response to wounding [GO:0009611]; tolerance induction to lipopolysaccharide [GO:0072573],GO:0001922; GO:0002020; GO:0002237; GO:0002315; GO:0002632; GO:0002634; GO:0002637; GO:0002677; GO:0003677; GO:0004842; GO:0004843; GO:0005634; GO:0005737; GO:0005764; GO:0006915; GO:0006954; GO:0007010; GO:0008270; GO:0009611; GO:0010507; GO:0016477; GO:0016579; GO:0019900; GO:0030177; GO:0031397; GO:0032088; GO:0032495; GO:0032691; GO:0032703; GO:0032715; GO:0032720; GO:0034115; GO:0034140; GO:0034148; GO:0035523; GO:0035871; GO:0036459; GO:0042802; GO:0043124; GO:0043130; GO:0043231; GO:0043621; GO:0045088; GO:0045732; GO:0045736; GO:0045824; GO:0048662; GO:0050713; GO:0050728; GO:0050869; GO:0060548; GO:0061578; GO:0070301; GO:0070429; GO:0070433; GO:0070530; GO:0070536; GO:0070936; GO:0071108; GO:0071222; GO:0071947; GO:0072573; GO:0072666; GO:1902042; GO:1903364; GO:1990168; GO:2000347; GO:2000349; GO:2000352,GO:0070936,cellular protein modification process
CHOYP_LOC100377460.1.1.m.38781,0.010331469,0.026967956,Yes,lightsteelblue,pale purple,Q3ZBD3,Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD),Pterin-4-alpha-carbinolamine dehydratase family,PCBD1,cytosol [GO:0005829]; nucleoplasm [GO:0005654]; 4-alpha-hydroxytetrahydrobiopterin dehydratase activity [GO:0008124]; identical protein binding [GO:0042802]; phenylalanine 4-monooxygenase activity [GO:0004505]; protein heterooligomerization [GO:0051291]; protein homotetramerization [GO:0051289]; tetrahydrobiopterin biosynthetic process [GO:0006729],GO:0004505; GO:0005654; GO:0005829; GO:0006729; GO:0008124; GO:0042802; GO:0051289; GO:0051291,GO:0051289,cellular component assembly; protein-containing complex assembly
CHOYP_PHUM_PHUM536560.2.2.m.59367,-0.001380138,0.025117995,Yes,lightsteelblue,pale purple,P47856,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1),,Gfpt1 Gfpt,amino acid binding [GO:0016597]; carbohydrate binding [GO:0030246]; carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]; circadian regulation of gene expression [GO:0032922]; fructose 6-phosphate metabolic process [GO:0006002]; glucosamine biosynthetic process [GO:0006042]; glutamine metabolic process [GO:0006541]; negative regulation of glycogen biosynthetic process [GO:0045719]; protein homotetramerization [GO:0051289]; protein N-linked glycosylation [GO:0006487]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]; UDP-N-acetylglucosamine metabolic process [GO:0006047],GO:0004360; GO:0006002; GO:0006042; GO:0006047; GO:0006048; GO:0006487; GO:0006541; GO:0016597; GO:0030246; GO:0032922; GO:0045719; GO:0051289; GO:0097367,GO:0051289,cellular component assembly; protein-containing complex assembly
CHOYP_PK3CD.1.1.m.53039,-0.000572857,0.02468862,Yes,lightsteelblue,pale purple,O00329,Phosphatidylinositol 4;5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.153) (Phosphatidylinositol 4;5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta),PI3/PI4-kinase family,PIK3CD,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mast cell granule [GO:0042629]; membrane [GO:0016020]; phosphatidylinositol 3-kinase complex [GO:0005942]; plasma membrane [GO:0005886]; 1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphatidylinositol 3-kinase activity [GO:0035004]; phosphatidylinositol-4;5-bisphosphate 3-kinase activity [GO:0046934]; adaptive immune response [GO:0002250]; axon guidance [GO:0007411]; B cell activation [GO:0042113]; B cell chemotaxis [GO:0035754]; B cell receptor signaling pathway [GO:0050853]; cell migration [GO:0016477]; cytokine production [GO:0001816]; cytokine-mediated signaling pathway [GO:0019221]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; mast cell chemotaxis [GO:0002551]; mast cell degranulation [GO:0043303]; mast cell differentiation [GO:0060374]; natural killer cell activation [GO:0030101]; natural killer cell chemotaxis [GO:0035747]; natural killer cell differentiation [GO:0001779]; negative regulation of gene expression [GO:0010629]; neutrophil chemotaxis [GO:0030593]; neutrophil extravasation [GO:0072672]; phosphatidylinositol 3-kinase signaling [GO:0014065]; phosphatidylinositol phosphorylation [GO:0046854]; phosphatidylinositol-3-phosphate biosynthetic process [GO:0036092]; phosphatidylinositol-mediated signaling [GO:0048015]; phosphorylation [GO:0016310]; platelet activation [GO:0030168]; positive regulation of cell migration [GO:0030335]; positive regulation of gene expression [GO:0010628]; positive regulation of neutrophil apoptotic process [GO:0033031]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein kinase B signaling [GO:0051897]; protein phosphorylation [GO:0006468]; respiratory burst involved in defense response [GO:0002679]; signal transduction [GO:0007165]; T cell activation [GO:0042110]; T cell chemotaxis [GO:0010818]; T cell differentiation [GO:0030217]; T cell receptor signaling pathway [GO:0050852],GO:0001779; GO:0001816; GO:0002250; GO:0002551; GO:0002679; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0005942; GO:0006468; GO:0006954; GO:0007165; GO:0007411; GO:0010628; GO:0010629; GO:0010818; GO:0014065; GO:0014068; GO:0016020; GO:0016301; GO:0016303; GO:0016310; GO:0016477; GO:0019221; GO:0030101; GO:0030168; GO:0030217; GO:0030335; GO:0030593; GO:0033031; GO:0035004; GO:0035005; GO:0035747; GO:0035754; GO:0036092; GO:0042110; GO:0042113; GO:0042629; GO:0043303; GO:0045087; GO:0046854; GO:0046934; GO:0048015; GO:0050852; GO:0050853; GO:0051897; GO:0060374; GO:0072672,GO:0043303,immune system process; transport; vesicle-mediated transport
CHOYP_LMNB2.1.1.m.55999,-0.008995145,0.025472062,Yes,lightsteelblue,pale purple,P08928,Lamin Dm0,Intermediate filament family,Lam CG6944,cytoplasm [GO:0005737]; lamin filament [GO:0005638]; nuclear envelope [GO:0005635]; nuclear inner membrane [GO:0005637]; nuclear lamina [GO:0005652]; nucleus [GO:0005634]; spindle pole [GO:0000922]; chromatin binding [GO:0003682]; signaling receptor binding [GO:0005102]; structural molecule activity [GO:0005198]; adult locomotory behavior [GO:0008344]; cell aging [GO:0007569]; central nervous system development [GO:0007417]; chitin-based cuticle development [GO:0040003]; chromatin silencing [GO:0006342]; compound eye morphogenesis [GO:0001745]; digestive tract morphogenesis [GO:0048546]; gonad morphogenesis [GO:0035262]; heterochromatin maintenance involved in chromatin silencing [GO:0070870]; male meiosis cytokinesis [GO:0007112]; meiosis I cytokinesis [GO:0007110]; mitotic nuclear envelope reassembly [GO:0007084]; negative regulation of cell proliferation [GO:0008285]; negative regulation of immune response [GO:0050777]; nuclear envelope organization [GO:0006998]; nuclear membrane organization [GO:0071763]; nuclear migration [GO:0007097]; nuclear pore distribution [GO:0031081]; nucleus organization [GO:0006997]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cytokinesis; actomyosin contractile ring assembly [GO:2000433]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of spindle assembly [GO:1905832]; protein localization to nuclear envelope [GO:0090435]; spermatocyte division [GO:0048137]; spermatogenesis [GO:0007283]; terminal branching; open tracheal system [GO:0007430],GO:0000922; GO:0001745; GO:0003682; GO:0005102; GO:0005198; GO:0005634; GO:0005635; GO:0005637; GO:0005638; GO:0005652; GO:0005737; GO:0006342; GO:0006997; GO:0006998; GO:0007084; GO:0007097; GO:0007110; GO:0007112; GO:0007283; GO:0007417; GO:0007430; GO:0007569; GO:0008285; GO:0008344; GO:0030838; GO:0031081; GO:0035262; GO:0040003; GO:0048137; GO:0048546; GO:0050777; GO:0070870; GO:0071763; GO:0090435; GO:1900182; GO:1905832; GO:2000433,GO:0030838; GO:1900182,cytoskeleton organization; cellular component assembly; protein-containing complex assembly
CHOYP_LOC100119086.1.1.m.55425,-0.001492974,0.026250402,Yes,lightsteelblue,pale purple,P16591,Tyrosine-protein kinase Fer (EC 2.7.10.2) (Feline encephalitis virus-related kinase FER) (Fujinami poultry sarcoma/Feline sarcoma-related protein Fer) (Proto-oncogene c-Fer) (Tyrosine kinase 3) (p94-Fer),Protein kinase superfamily; Tyr protein kinase family; Fes/fps subfamily,FER TYK3,cell cortex [GO:0005938]; cell junction [GO:0030054]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; nucleus [GO:0005634]; ATP binding [GO:0005524]; epidermal growth factor receptor binding [GO:0005154]; lipid binding [GO:0008289]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein phosphatase 1 binding [GO:0008157]; protein tyrosine kinase activity [GO:0004713]; actin cytoskeleton reorganization [GO:0031532]; cell adhesion [GO:0007155]; cell proliferation [GO:0008283]; cell-cell adhesion mediated by cadherin [GO:0044331]; cellular response to insulin stimulus [GO:0032869]; cellular response to macrophage colony-stimulating factor stimulus [GO:0036006]; cellular response to reactive oxygen species [GO:0034614]; chemotaxis [GO:0006935]; cytokine-mediated signaling pathway [GO:0019221]; diapedesis [GO:0050904]; extracellular matrix-cell signaling [GO:0035426]; Fc-epsilon receptor signaling pathway [GO:0038095]; insulin receptor signaling pathway via phosphatidylinositol 3-kinase [GO:0038028]; interleukin-6-mediated signaling pathway [GO:0070102]; intracellular signal transduction [GO:0035556]; Kit signaling pathway [GO:0038109]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; negative regulation of mast cell activation involved in immune response [GO:0033007]; peptidyl-tyrosine phosphorylation [GO:0018108]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cell migration [GO:0030335]; positive regulation of cell proliferation [GO:0008284]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of cell proliferation [GO:0042127]; regulation of epidermal growth factor receptor signaling pathway [GO:0042058]; regulation of fibroblast migration [GO:0010762]; regulation of lamellipodium assembly [GO:0010591]; regulation of mast cell degranulation [GO:0043304]; regulation of protein phosphorylation [GO:0001932]; response to lipopolysaccharide [GO:0032496]; response to platelet-derived growth factor [GO:0036119]; substrate adhesion-dependent cell spreading [GO:0034446]; tyrosine phosphorylation of STAT protein [GO:0007260],GO:0000226; GO:0000278; GO:0001932; GO:0004713; GO:0004715; GO:0005154; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0005938; GO:0006468; GO:0006935; GO:0007155; GO:0007260; GO:0008157; GO:0008283; GO:0008284; GO:0008289; GO:0010591; GO:0010762; GO:0018108; GO:0019221; GO:0030054; GO:0030335; GO:0030838; GO:0031234; GO:0031532; GO:0032496; GO:0032869; GO:0033007; GO:0034446; GO:0034614; GO:0035426; GO:0035556; GO:0036006; GO:0036119; GO:0038028; GO:0038095; GO:0038109; GO:0042058; GO:0042127; GO:0042995; GO:0043304; GO:0044331; GO:0046777; GO:0048008; GO:0050904; GO:0051092; GO:0070102,GO:0030838,cytoskeleton organization; cellular component assembly; protein-containing complex assembly
